"Subject","Id_task_Good","Id_task_Bad","Valence_task_Good","Valence_task_Bad","good_bad_ID","good_bad_Val","ID_Val_good","ID_Val_bad"
"7003",602.334842995169,599.299264705882,549.161260504202,593.762676056338,3.03557828928683,-44.6014155521364,53.1735824909674,5.53658864954423
"7004",527.81946969697,522.773073989321,526.848611111111,478.042447916667,5.04639570764857,48.8061631944444,0.97085858585865,44.7306260726544
"7005",478.8,509.875046641791,475.721376811594,529.844303132226,-31.0750466417911,-54.122926320632,3.0786231884058,-19.9692564904351
"7006",511.084722222222,558.194176136364,455.436516155758,453.547159090909,-47.1094539141415,1.88935706484904,55.6482060664641,104.647017045455
"7007",522.918084886128,511.9003163911,515.593571428571,549.733423913043,11.0177684950281,-34.139852484472,7.32451345755692,-37.8331075219432
"7008",433.454019607843,428.612398921833,488.530307539683,526.60838386194,4.84162068601029,-38.0780763222577,-55.0762879318394,-97.9959849401074
"7009",624.542246240602,624.536384180791,563.660873015873,568.836923076923,0.00586205981062449,-5.17605006105009,60.8813732247286,55.6994611038679
"7010",426.779084507042,415.312996031746,471.805456349206,472.110708367854,11.4660884752963,-0.30525201864782,-45.0263718421641,-56.7977123361081
"7011",528.202525575448,479.079433077579,522.806291172595,535.927556561086,49.1230924978687,-13.1212653884905,5.39623440285209,-56.8481234835072
"7012",486.154885460496,507.663465160075,502.636274509804,472.117091836735,-21.5085796995798,30.5191826730692,-16.4813890493083,35.5463733233407
"7013",500.285915492958,551.853676470588,449.258333333333,511.342957746479,-51.5677609776304,-62.0846244131455,51.0275821596244,40.5107187241093
"7015",524.522003264925,508.512653643547,516.882824513795,540.737483530962,16.0093496213784,-23.854659017167,7.63917875113066,-32.2248298874148
"7016",552.837586206897,538.060983813328,586.359844771242,573.348833987532,14.7766023935687,13.01101078371,-33.5222585643453,-35.287850174204
"7018",504.38125,536.44375,460.219444444444,505.554861111111,-32.0625,-45.3354166666667,44.1618055555556,30.8888888888889
"7019",587.72881567029,576.496212121212,565.932320302648,583.258498168498,11.2326035490777,-17.32617786585,21.7964953676417,-6.76228604728601
"7020",581.076207729469,564.048611111111,635.439643719807,624.080907668232,17.0275966183575,11.3587360515751,-54.3634359903382,-60.0322965571206
"7022",646.101873449132,648.824068627451,558.07676056338,638.276764843385,-2.72219517831945,-80.2000042800046,88.0251128857512,10.5473037840661
"7023",523.068760064412,531.85625,505.66455399061,509.722111801242,-8.78748993558781,-4.05755781063192,17.4042060738019,22.1341381987578
"7025",540.031804800725,546.15288210746,520.529934210526,496.043964803313,-6.12107730673495,24.4859694072137,19.5018705901983,50.108917304147
"7026",477.61338028169,502.860142588109,511.207857142857,576.749813432836,-25.2467623064186,-65.5419562899787,-33.594476861167,-73.8896708447271
"7028",603.27650273224,600.755714285714,608.065622065728,619.476108587497,2.52078844652624,-11.4104865217696,-4.78911933348718,-18.720394301783
"7029",603.681081434931,592.135280257937,560.201328105237,610.359457013575,11.545801176994,-50.1581289083381,43.4797533296939,-18.2241767556382
"7030",464.474647887324,469.6,505.742210144928,534.488028169014,-5.12535211267607,-28.7458180240866,-41.2675622576036,-64.8880281690141
"7031",655.69656016791,589.571245059288,639.367956349206,643.136212121212,66.125315108622,-3.76825577200577,16.3286038187041,-53.5649670619237
"7032",499.868839634941,519.409210526316,585.151409017713,654.032168458781,-19.5403708913744,-68.880759441068,-85.2825693827721,-134.622957932466
"7033",586.315441176471,524.093661971831,535.631594110115,451.278370221328,62.2217792046396,84.3532238887872,50.6838470663554,72.815291750503
"7034",469.2964017991,474.915876906318,437.090476190476,449.133755137357,-5.61947510721762,-12.0432789468805,32.2059256086242,25.7821217689614
